,0
391,-8.662087
392,-6.119746
393,-8.774155
394,-7.4304857
395,-6.679486
396,-9.2512
397,12.262898
398,14.524544
399,14.809676
400,33.373688
401,-8.104038
402,-8.130134
403,-6.743104
404,-8.239231
405,18.064013
406,14.138979
407,14.794673
408,-6.932357
409,-8.184781
410,-7.938295
411,-7.7406816
412,-8.165905
413,-8.815264
414,17.305788
415,17.047964
416,17.49386
417,18.367645
418,26.38861
419,15.27528
420,15.142914
421,15.077068
422,1.2526959
423,13.481259
424,14.620404
425,14.547353
426,16.456072
427,12.9808445
428,14.320786
429,18.082773
430,12.054797
431,22.961517
432,20.908463
433,19.205292
434,17.75389
435,9.198275
436,8.749289
437,30.34897
438,14.546465
439,19.27482
440,30.19859
441,30.112507
442,23.751596
443,20.63566
444,6.08241
445,30.096575
446,29.927149
447,5.487226
448,-0.6012201
449,-0.29878628
450,22.31055
451,10.2693615
452,-0.49102983
453,21.621286
454,11.367145
455,16.229288
456,-5.301513
457,13.47075
458,7.7358923
459,23.270714
460,23.32811
461,23.30123
462,21.949184
463,26.183392
464,21.089407
465,24.848843
466,26.92284
467,24.859018
468,26.517862
469,26.030533
470,4.9846077
471,29.3545
472,5.5880394
473,16.093033
474,21.914137
475,16.579119
476,22.108324
477,16.047842
478,16.926897
479,16.479399
480,17.22675
481,17.391838
482,17.541407
483,16.585484
484,34.583702
485,-21.543022
486,34.204994
487,-32.433598
488,-33.287556
489,-26.877739
490,-34.886765
491,-29.727226
492,-29.431377
493,-32.86078
494,-27.735825
495,-29.86509
496,-17.192497
497,-28.066956
498,-28.123081
499,-27.26343
500,-27.693525
501,-21.331594
502,-28.162296
503,-18.809702
504,-27.261137
505,-27.479815
506,-27.771137
507,-28.429272
508,-30.38379
509,-26.4548
510,-17.518177
511,-29.141855
512,-28.809929
513,-28.331516
514,-29.040089
515,-27.035673
516,-29.013775
517,-29.062405
518,-27.314537
519,34.608097
520,-29.372145
521,-27.77724
522,-26.671114
523,-16.857412
524,-17.18414
525,-16.9438
526,-17.355392
527,-28.191118
528,-17.17548
