,0
247,6.154651
248,24.856794
249,4.8865604
250,-0.6938178
251,25.03174
252,10.181963
253,0.035887074
254,24.71393
255,5.052864
256,24.239546
257,24.237694
258,24.276709
259,24.408268
260,24.491732
261,25.183119
262,5.9093046
263,5.4869065
264,30.245218
265,18.958
266,9.138526
267,9.112362
268,8.908259
269,8.986014
270,8.91081
271,8.548126
272,-10.847422
273,-18.989635
274,-8.71918
275,-9.499694
276,-9.19618
277,-10.131151
278,-10.066962
279,-8.813364
280,-17.831877
281,-17.75082
282,-27.784193
283,-9.41201
284,-20.16636
285,-19.93409
286,-19.882843
287,-19.937815
288,-18.88134
289,-8.072503
290,-23.757296
291,-7.953774
292,-9.140757
293,-9.524848
294,-9.622857
295,-8.6382475
296,-11.591875
297,-11.915469
298,-7.637657
299,-7.8754444
300,-7.9493976
301,-7.783951
302,10.855889
303,11.303392
304,-3.011979
305,12.268404
306,-2.9320383
307,16.7751
308,19.560322
309,17.16922
310,19.11745
311,17.11299
312,17.194826
313,17.051146
314,13.246266
315,20.030277
316,24.479712
317,5.016357
318,-0.7705784
319,20.768606
320,16.731993
321,10.158789
322,11.266003
323,4.1424217
324,34.52394
325,6.9620237
326,-2.835984
327,-5.0364146
328,15.670855
329,24.172333
330,-3.938226
331,16.995594
332,-5.104012
333,-5.2075887
334,12.243192
335,12.498566
336,20.473148
337,-5.381956
338,12.31051
339,11.229815
340,19.185698
341,11.133411
342,2.860548
343,20.17556
344,12.070116
345,19.83782
346,6.763433
347,22.222189
348,22.010946
349,-3.6055136
350,11.014765
351,11.358358
352,-4.384645
353,6.5526314
354,-1.4734504
355,11.352483
356,12.559097
357,13.608431
358,21.445124
359,21.343525
360,10.313294
361,11.313733
362,11.153195
363,28.03904
364,28.330015
365,22.652119
366,21.781153
367,27.470324
368,29.415022
369,27.237083
370,27.871143
371,27.516924
372,27.085854
373,29.046207
374,29.734854
375,29.946009
376,29.988346
377,27.689003
378,27.540743
379,18.513023
380,18.125694
381,15.575922
382,13.305341
383,13.907192
384,13.2816105
385,13.092945
386,-6.9251432
387,-7.5588408
388,-7.4819317
389,-8.099799
390,-10.1087
391,-8.97826
392,-6.570623
393,-9.090594
394,-7.788046
395,-7.0635095
396,-9.562595
397,-5.949883
398,14.186579
399,14.4517565
400,32.25366
401,-8.4390955
402,-8.460046
403,-7.09974
404,-8.557793
405,17.609104
406,13.796287
407,14.4418
408,-7.289455
409,-8.538711
410,-8.281053
411,-8.0708885
412,-8.518664
413,-9.135615
414,16.850065
415,16.596008
416,17.043823
417,17.915268
418,27.827145
419,14.936234
420,14.795475
421,14.713608
422,-2.1928809
423,13.174141
424,14.288042
425,14.20312
426,16.049057
427,12.594599
428,13.97728
429,17.598606
430,11.827174
431,22.465496
432,20.458431
433,18.739958
434,17.296604
435,8.951123
436,8.517251
437,24.352352
438,14.178953
439,18.683817
440,24.360954
441,24.582172
442,23.23149
443,20.179773
444,5.7835197
445,24.321129
446,24.426311
447,5.1384425
448,-0.97818357
449,-0.67440337
450,21.913822
451,10.036925
452,-0.8535825
453,21.13839
454,11.122414
455,15.825624
456,-5.615646
457,12.960554
458,7.4597807
459,22.690414
460,22.671728
461,22.541187
462,21.43917
463,27.149773
464,20.58705
465,29.824457
466,28.183025
467,29.591084
468,27.42894
469,27.806955
470,4.6132874
471,25.031937
472,5.2231746
473,15.722547
474,21.421743
475,16.1735
476,21.615154
477,15.650784
478,16.495174
479,16.067177
480,16.792238
481,16.942772
482,17.08745
483,16.201633
484,33.46157
485,-24.544931
486,33.059734
487,-32.51213
488,-33.304974
489,-29.46738
490,-34.783665
491,-29.830584
492,-29.538761
493,-32.877907
494,-28.498241
495,-29.974463
496,-18.025356
497,-27.6683
498,-27.7757
499,-27.42522
500,-27.63969
501,-24.51513
502,-27.950224
503,-19.327103
504,-27.524727
505,-27.838987
506,-28.202616
507,-28.684595
508,-30.402468
509,-16.5723
510,-16.878048
511,-29.30666
512,-28.942934
513,-28.095774
514,-29.151901
515,-17.181614
516,-29.144985
517,-29.162458
518,-28.37674
519,33.536636
520,-29.49073
521,-27.914486
522,-16.881691
523,-17.484026
524,-17.770275
525,-17.64753
526,-17.33327
527,-28.54821
528,-17.401823
529,-17.169037
530,-17.328848
531,-18.167994
532,-11.707755
533,35.7838
534,35.70049
535,3.0633929
536,32.771168
537,32.310028
538,0.026414007
539,35.781273
540,17.689934
541,18.972008
542,-14.005201
543,34.53239
544,34.405502
545,34.491974
546,-24.884033
547,-23.688744
548,-20.764946
549,35.695118
550,32.934654
551,-29.686588
552,-24.209476
553,-22.243172
554,-21.579058
555,-21.51832
556,-21.060305
557,-32.56382
558,-22.528584
559,-12.76056
560,-21.589367
561,-21.038355
562,-22.196714
563,-22.544008
564,-21.855917
565,-21.758678
566,-25.925224
567,-21.55567
568,-22.131205
569,-24.269829
570,-22.038837
571,-33.26154
572,-32.821053
573,-22.639767
574,-16.193626
575,-22.068874
576,-26.602072
577,-9.928777
578,-13.83666
579,19.617401
580,19.279774
581,29.036505
582,18.548635
583,18.358381
584,19.433065
585,-32.486755
586,-28.722055
587,-27.841335
588,-28.462936
589,6.188919
590,-24.041428
591,-15.822369
592,19.162956
593,-6.460006
594,-22.633427
595,-33.203224
596,-25.556652
597,-24.809301
598,-24.858355
599,-31.250526
600,-31.479734
601,-28.846004
602,-31.192137
603,-25.437435
604,-31.517124
605,-26.834808
606,-31.981201
607,-32.937675
608,-32.201263
609,-16.791433
610,-14.852071
611,-11.392127
612,-26.822462
613,-30.675732
614,-24.576849
615,-29.363598
616,-32.918655
617,-32.188488
618,0.08180594
619,-28.511866
620,-29.813059
621,-27.125801
622,-33.083233
623,-24.474995
624,-25.767626
625,-25.688807
626,-25.563805
627,-21.879166
628,-26.456543
629,-13.157596
630,-6.9124975
631,-17.28395
632,-17.995026
633,-10.506475
634,-24.306208
635,-34.02671
636,-33.683983
637,-29.915632
638,-26.394833
639,-26.090738
640,-26.31009
641,-34.058216
642,-34.098118
643,-25.794157
644,-34.241154
645,-29.564297
646,-29.261358
647,-10.664415
648,-19.894611
649,-19.096252
650,-20.04373
651,-10.70051
652,-19.687275
653,-22.95485
654,-19.424852
655,-23.766506
656,-19.392076
657,-19.913174
658,-19.871342
659,-19.597624
660,-27.512945
661,-18.572315
662,-18.492266
663,-28.116255
664,-4.651179
665,4.6251826
666,-26.533903
667,-15.392872
668,-34.151585
669,-33.661293
670,-32.39521
671,-33.586876
672,-30.789736
673,-27.152954
674,-31.33046
675,-31.27164
676,-31.377558
677,-31.276075
678,-31.309013
679,-22.350466
680,-22.383457
681,-34.57191
682,8.829526
