,0,1,2
130,4.4387608,3.365828,-2.4590755
131,6.074526,3.8005211,-4.3844256
132,-5.258433,-4.599568,1.1329566
133,16.993122,5.2809296,0.59210217
134,17.96857,5.529111,-0.18021838
135,1.4669561,-2.7900338,-4.5180645
136,19.145714,3.2291696,-3.8084598
137,13.903259,4.467943,1.8063045
138,15.204338,4.166895,1.8131353
139,1.5793449,-0.5212154,-1.2472763
140,8.601706,0.09730261,-0.9247201
141,9.024907,1.7731693,-2.7712965
142,3.4313214,0.78733844,0.2707255
143,-4.6386695,1.5110871,-6.679637
144,0.81593406,-4.687719,-3.8591697
145,3.9131968,-0.6616966,-0.010417271
146,8.532924,-0.37713304,-3.6304753
147,9.857401,3.6975007,-6.2830505
148,-14.894712,-5.612315,-1.0186921
149,-17.460499,-5.595082,0.37907597
150,-0.5836793,-6.466379,-4.2073607
151,2.7285545,-3.9150233,-1.7378247
152,0.3159128,-6.992009,1.3606029
153,-5.3016915,-0.34338072,-5.022199
154,3.488231,0.26458383,2.1364772
155,6.212879,-0.43596032,-1.1003538
156,2.4976263,1.9415889,1.5529933
157,-0.03874112,-9.514069,-4.387959
158,-4.076671,-0.4302302,-3.6143353
159,-3.7466831,-1.3094052,1.4409916
160,7.5464883,-0.5913687,-2.0301433
161,-1.1311616,-0.78029126,3.5514953
162,3.4517512,-2.9831278,4.431712
163,2.8772404,-7.195749,5.056924
164,3.986003,-4.4988914,3.0741808
165,0.43943045,0.10029098,6.4988737
166,0.56592876,-6.1749744,-0.14477341
167,-3.1962237,-5.25268,6.8105416
168,-5.877257,-3.7732992,4.137093
169,-4.028809,2.1771166,-5.358644
170,0.8694518,-7.5020843,7.5038233
171,-0.46095678,2.4180074,4.0229516
172,3.1005282,-0.5088897,6.8158555
173,2.505095,-0.85024166,3.4972723
174,-1.6774663,5.1537924,5.912502
175,-0.13764156,-3.1154056,5.913844
176,2.095688,-4.017238,5.9788823
177,1.4875134,-8.275665,7.273472
178,0.18897069,-3.5541794,6.955714
179,-0.13227114,-5.9693303,7.9719486
180,2.8442073,-4.789526,6.7204046
181,-11.35431,-9.062346,8.292143
182,-4.256593,1.2545615,-3.780943
183,-2.6495016,-7.054383,10.17904
184,-2.4045203,-6.3204675,9.685084
185,3.0483594,-1.1480945,5.9838114
186,2.8770263,-6.9596825,5.89958
187,0.051937062,-10.452987,8.621406
188,-1.0296211,-8.128695,9.593353
189,5.9047112,3.5278168,-5.9438643
190,-4.3078566,-3.6205974,-7.804566
191,4.3234663,0.8975115,4.1744757
192,5.0198936,-0.46670738,4.154525
193,4.0568347,2.9876025,-5.002733
194,1.2143655,-5.4242005,9.164292
195,0.5111006,-8.796332,7.690866
196,-11.839529,5.0011907,3.6926398
197,-4.8108654,-9.100244,-6.463333
198,12.202052,7.065736,-7.188368
199,1.1462262,9.030943,-5.6557345
200,14.691596,3.3958285,-5.543916
201,8.767251,5.7166967,-7.734193
202,2.415093,6.6780763,2.649091
203,12.694434,1.3435386,-2.348697
204,4.4142404,8.308518,-5.1691866
