,0,1,2
165,-0.4011157,3.9423487,-1.2920821
166,2.8014557,-0.652746,2.630791
167,3.1773174,5.086944,-2.0603015
168,4.2748723,1.606959,-2.8554573
169,-1.9945648,6.3506923,-1.3441814
170,2.5619483,5.524378,1.5749826
171,-0.5217478,2.0169425,-2.706663
172,-2.171649,2.7319508,0.80610394
173,-0.29218107,2.186439,0.36828008
174,-0.5476917,2.5911555,-5.3876534
175,1.378611,3.8643987,-0.37689394
176,1.3771083,3.5959537,0.87134504
177,2.746599,5.4870334,1.8645413
178,1.6682632,4.1554155,-0.10544416
179,0.7946659,5.665903,-0.019714734
180,1.7843361,3.4442194,1.3049394
181,7.4352345,5.8699565,-0.4088681
182,-1.7612113,5.259323,-1.491054
183,3.162352,6.307374,-0.44516927
184,3.0675335,6.1642847,-0.59672445
185,-1.8037174,2.7173386,0.8853254
186,2.2797432,4.1620774,2.3688095
187,4.243944,6.2082877,2.6112614
188,3.48445,5.3937125,0.18581668
189,-4.7372704,0.38725954,0.13472544
190,1.5449009,-2.8891575,-1.8483133
191,-1.1631504,3.8409345,-0.33456463
192,-0.79056185,3.4561946,0.86323524
193,-3.7031112,0.6683186,-0.10046437
194,0.2330929,6.0214386,0.049291026
195,3.008695,5.720607,1.7507559
196,4.635309,6.258523,-6.7862277
197,3.797934,-3.1198153,-1.041756
198,-7.074105,-2.776905,1.7734603
199,-0.92287374,-4.2840304,-1.3324901
200,-8.179217,-6.5628123,2.1154118
201,-6.535579,-1.1635294,1.1124523
202,-4.2307024,0.5277548,-1.9381424
203,-7.5357623,-6.653024,-0.338345
204,-4.069279,-2.340892,-1.179129
205,3.4218707,-3.4670029,-3.3430808
206,-7.2259536,-0.050342068,1.1782832
207,4.579586,0.060297213,1.910134
208,-5.5563064,-0.97670656,-0.31578165
209,-4.0120826,-0.8230075,0.04909599
210,-6.0914674,-2.0734751,-0.35934097
211,-4.05492,-2.0144122,-1.2759662
212,-3.2808108,-3.394137,-1.4835426
213,-8.043929,-3.593494,-1.9849952
214,-6.263558,-5.763142,1.0348318
215,-5.0462785,-7.616184,-0.22679552
216,-0.3725183,1.2130231,-3.6642911
217,1.4843391,-2.6359253,-1.9437644
218,-7.41374,-2.3086574,-0.2158373
219,-6.191567,-0.88397723,0.038567495
220,-7.3094177,-0.16693138,1.581568
221,-5.4553003,-4.3164163,-1.0955534
222,-10.307975,-7.622051,2.9733098
223,-1.2644335,-4.330522,1.9785551
224,-9.22003,-6.3208623,3.4133434
225,-8.110488,-5.9068813,3.361142
226,-2.5920506,-2.4507315,2.844341
227,-4.1422057,-1.5371586,-0.18991925
228,-2.4226062,-1.2202234,2.7204635
229,-8.45107,-1.9433936,-1.7447519
230,-8.365536,-2.5720043,-1.563669
231,-3.105355,-1.9432787,2.6517618
232,-8.950132,-2.3680696,-1.6041257
233,-8.635687,-6.9760556,1.8401594
234,-5.434577,-1.393966,1.8406662
235,-4.97387,-1.225584,2.0702481
236,-4.886921,0.30662528,-0.34690478
237,-4.7626452,-0.17581113,-0.8160655
238,-5.332917,-1.6170477,-0.16654477
239,-4.8545938,-1.3739742,0.71678907
240,-0.6921434,1.4603001,0.29430205
241,0.018593373,1.6669095,2.4374785
242,1.7566693,1.9179343,1.1790533
243,-0.09273066,1.8410053,1.9452627
244,-1.9002191,5.004461,-1.5604397
245,-4.6812162,0.65369815,-0.3430616
246,-0.31940284,2.8301177,1.1951351
247,3.3243046,5.5231743,2.2297032
248,5.060719,5.3065305,4.430711
249,3.7658043,3.5837128,4.302401
250,0.1009321,2.6207,2.4127386
251,7.374399,6.3075314,4.4304924
252,2.326512,3.9680352,-1.1518095
253,1.6644936,2.961187,3.5742981
254,5.3849907,5.8474884,4.844303
255,2.7482495,3.6814587,3.133161
256,4.777554,6.4614015,3.2540524
257,4.8876767,6.801595,3.641025
258,5.287362,6.744643,3.526061
259,5.9162083,7.1025195,5.0296316
260,5.746445,6.2706895,3.9719582
261,4.747059,4.626668,4.047695
262,1.9309245,5.8825774,2.4765944
263,1.8473032,5.5734506,2.7609146
264,7.836785,7.092298,-4.8999977
265,9.948635,2.852369,-2.8891556
266,3.9778194,-2.3372462,-2.880813
267,3.879169,-2.5256517,-2.9201565
268,3.9361832,-3.874412,-2.6150513
269,4.261862,-3.8820848,-2.4150977
270,3.6428468,-3.5488946,-2.7428663
271,3.4929457,-3.3963456,-1.6331723
272,-2.6920302,-4.4578304,-4.144392
273,-5.0132036,0.6522861,6.397487
274,-3.3186388,-0.310027,-5.614268
275,-1.807218,-1.0148932,-5.6007795
276,-1.0284985,-0.45798206,-6.630506
277,-1.7679197,-2.0419722,-5.5283227
278,-2.368604,-1.4576498,-4.907224
279,-4.196433,-0.3719769,-5.611338
280,-3.9687045,-5.3189154,-1.1872677
281,-3.210339,-4.8796206,-0.79099685
282,-4.5736737,-5.173927,4.166793
283,-1.6936021,-1.0737714,-6.159425
284,-6.9221754,0.7196385,3.924175
285,-6.571439,0.37019202,4.5158505
286,-6.4756155,0.44299516,4.4202924
287,-6.7313585,0.7945339,4.1970215
288,-5.0973377,0.7288095,5.8812895
289,-3.6001256,1.047427,-6.0688143
290,-7.617123,-3.7202218,-2.0516946
291,-2.0374615,1.1702285,-5.9394345
292,-1.4780076,-0.17459658,-7.7419734
293,-1.3029243,-1.3566419,-6.1211643
294,-1.2427317,-1.3087261,-5.8006063
295,-2.8031335,-0.27534217,-5.5384746
296,-3.103134,-1.5744073,-2.88268
297,25.30313,-3.8864157,-51.64932
298,-3.0340254,1.0531497,-4.4994774
299,-2.9561293,0.9606875,-5.2955685
300,-3.4404018,1.2358617,-5.7910137
301,-2.7339005,0.95650023,-5.0370846
302,2.3726356,3.4648242,-2.2172077
303,1.4959025,2.3782628,-3.0922554
304,-0.46519664,1.9974298,-2.045284
305,2.734154,4.1525526,-5.446532
306,0.26007044,1.980727,-1.9746118
307,7.1769342,4.6526923,-7.0886526
308,7.350681,3.453098,-3.0813406
309,7.267555,2.9976773,-7.4132676
310,7.0682235,3.3881514,-3.3541138
311,7.173094,3.3282936,-6.7492323
312,7.2815313,2.6143324,-7.285994
313,6.8913565,2.506117,-7.857603
314,4.313711,3.3753614,-4.898998
315,5.009667,4.276234,-2.7892914
316,5.610191,6.540846,4.7874165
317,0.64098823,4.184799,3.31864
318,-0.012286523,3.3274393,2.549609
319,6.352397,4.317579,-1.8765237
